category,name,name_zh,description,price,spice_level,dietary_tags,allergens,is_featured,status
Appetizers,Chicken Samosa,,"Embark on a flavourful journey with our Chicken Samosa. These golden parcels of delight are filled with succulent chicken, aromatic spices, and a hint of warmth. Each bite offers a perfect balance of crispy exterior and savoury filling, making it a beloved snack that leaves a lasting impression",6000,0,,,no,draft
Appetizers,Fried Jumbo Shrimp,,"Dive into a sea of flavour with our Fried Jumbo Shrimp. Indulge in six succulent pieces of plump shrimp, lightly breaded and fried to a perfect golden crisp. With each bite, experience the ocean's bounty and a satisfying crunch that captures the essence of seafood indulgence. (6 pieces)",14000,0,,,no,draft
Appetizers,Hot Chicken Wings,,"Turn up the heat with our Hot Chicken Wings. A tantalizing serving of six tender and juicy chicken wings, coated in a fiery blend of spices that pack a flavourful punch. Whether you're a spice enthusiast or simply seeking a bold culinary adventure, these wings are sure to ignite your taste buds.",6000,0,,,no,draft
Appetizers,BBQ Wings,,"Experience BBQ bliss with our delectable BBQ Wings. Sink your teeth into six succulent chicken wings, meticulously glazed with our signature smoky barbecue sauce. The perfect harmony of sweet and savoury flavours, these wings promise a mouth-watering journey that captures the essence of classic barbecue goodness.",6000,0,,,no,draft
Appetizers,Pepper Chicken Wings,,"Elevate your wing game with our Pepper Chicken Wings. Delight in six perfectly seasoned chicken wings, coated in a zesty pepper-infused marinade that brings a kick of flavor to every bite. A bold and flavourful choice that's sure to excite your taste buds",6000,0,,,no,draft
Appetizers,Fried Shrimp Basket,,"Indulge in oceanic delight with our Fried Shrimp Basket. A generous portion of plump and crispy fried shrimp, served alongside a medley of dipping sauces. A true seafood lover's dream, offering a satisfying crunch and succulent flavors that transport you straight to the coast.",14000,0,,,no,draft
Appetizers,Chicken and Chips,,"Satisfy your cravings with our classic Chicken and Chips. Enjoy a succulent piece of perfectly fried chicken, paired with a generous helping of golden, crispy fries. A timeless combination that delivers comfort and flavour in every mouth-watering bite.",9000,0,,,no,draft
Appetizers,Only Chips,,"Experience the simple pleasure of our Crispy Chips. A generous portion of golden fries, expertly cooked to a perfect crunch. Whether enjoyed as a satisfying snack or a delightful side, these chips are sure to add a touch of crispy goodness to your dining experience.",4000,0,,,no,draft
Appetizers,Chicken Spring Rolls,,"Indulge in the perfect appetizer with our Chicken Spring Roll. Crispy, golden rolls filled with tender chicken and a medley of fresh vegetables, expertly crafted to deliver a delightful crunch with every bite. Each portion comes with six delectable pieces, making it an ideal choice for sharing or enjoying all to yourself",6000,0,,,no,draft
Appetizers,Vegetable Spring Rolls,,"Discover a garden-fresh delight with our Vegetable Spring Roll. Six pieces of crispy perfection, filled with an assortment of colourful garden vegetables, expertly rolled to create a satisfying crunch with every bite. A light and flavourful appetizer that celebrates the beauty of nature on your plate.",6000,0,,,no,draft
